id;Город дистрибьютора;Торг_точка_грязная;Торг_точка_грязная_адрес;outlet_clean_id;cluster_id;subcluster_id
1;Ростов-на-Дону;ИП Гаврилов С.А.;п.Глубокий, ул.Артёма 44;;4CkG-TffR-WUpp-94oQ;AZS5-bTCq-nd3q-buND
2;Ростов-на-Дону;ИП Малышева;-;;lgAo-VP8T-4AqB-W7lT;Fecf-nWla-kicD-pt7u
3;Ростов-на-Дону;Абасян А.П. ИП;он же;;2Y98-Qzgo-WCF3-gh2E;gSKq-mmfp-q9lF-Enpk
4;Ростов-на-Дону;Азатян Н,С. ИП ул. Ленина;он же;;xPsy-byNN-8vAg-Ga25;o1lp-mVdr-oKkR-shXZ
5;Ростов-на-Дону;Айдинов В.Я.;он же;;YHKD-Kzbk-aaZQ-G0MM;AgHl-cvNI-9L2V-C6Fo
6;Ростов-на-Дону;Алексеева Л П ИП;Буденного 161;;TDIT-AsGw-aMYX-516i;4Yue-dOWP-C13R-usFs
7;Ростов-на-Дону;Алексеева Л П ИП;он же;;TDIT-AsGw-aMYX-516i;4Yue-dOWP-C13R-usFs
8;Ростов-на-Дону;ИП Алиева Т.М.;Ип Алиева Т.М. п.Газетный 39;;dC9D-SGmm-6E8n-ZOvc;kqgz-xZDP-wS3l-mAug
9;Ростов-на-Дону;Алпатова В В ИП;он же;;gZpr-FwnO-XkMg-xKMp;ElZe-Dez0-bapV-Wuwh
10;Ростов-на-Дону;Алпатова В В ИП;ул Гвардейская 34-а;;gZpr-FwnO-XkMg-xKMp;ElZe-Dez0-bapV-Wuwh
11;Ростов-на-Дону;Алпатова В.В. ИП;он же;;gZpr-FwnO-XkMg-xKMp;ElZe-Dez0-bapV-Wuwh
12;Ростов-на-Дону;"Алпатова В.В. ИП ""Ассорти+""";он же;;gZpr-FwnO-XkMg-xKMp;1gAp-Flhl-5gMA-4OiF
13;Ростов-на-Дону;Алпатова В.В. ИП ул.Гвардейская 34-а;он же;;gZpr-FwnO-XkMg-xKMp;ICsu-ZdiC-UOLG-KM3g
14;Ростов-на-Дону;"ООО ""Альтернатива""";он же;;znCr-lWtv-RFTE-sHgp;ILA4-GGIV-O8E1-v7lZ
15;Ростов-на-Дону;Альянс ООО г.Новочеркаск;он же;;agZW-n8UN-7zVd-NYvz;aOYV-0fKq-Xsro-01NG
16;Ростов-на-Дону;Андреасян А.А, ИП;он же;;PZT5-CmBE-DSRQ-x9yW;hSSH-ptkt-brMY-hG1m
17;Ростов-на-Дону;Анохин С М ИП;Ростов на Дону ул Калинина 10-А;;dlgO-Gh9C-WyEZ-l58w;yW6s-mz1V-RYYf-6g6g
18;Ростов-на-Дону;Антипова И.Д. п.Васильевский;он же;;YcWv-yBkK-yK37-nye9;kDxe-O0Uy-tqIE-a6M6
19;Ростов-на-Дону;Арег ООО;он же;;L7cg-Rtre-TkMG-aPZY;pLzt-ywp5-aZok-S4tS
20;Ростов-на-Дону;Армада-Н;он же;;PnGl-N77n-6bDY-Ze0V;VGWX-eGkx-Uk9a-tENO
21;Ростов-на-Дону;Арнес ООО;он же;;DO7g-nuk0-ft8E-hdNX;6xuX-FHlD-cFE2-46lu
22;Ростов-на-Дону;ИП Арустамян;Ростовская обл. г.Морозовск ул. Ворошилова 364/2;;izYy-OPra-86R4-l34L;q2d0-Qwwd-6g97-ad0o
23;Ростов-на-Дону;Асмаева Т.А. ИП Маг. Овощи-фрукты;он же;;y8Gp-Wboz-FWK6-0cz4;1cNK-TSFs-C3P0-fXMi
24;Ростов-на-Дону;Асриян Б Х;-;;bq9Z-ypI9-3UUk-zGD7;wNG7-HacC-XMG6-Yl33
25;Ростов-на-Дону;"ООО ""Ассоль""";он же;;gtn4-a94x-Bcgt-idIG;856T-sl5C-eqq8-FpkR
26;Ростов-на-Дону;Атаари К.Г. ИП;он же;;POE7-B7Af-vGG1-nPxG;93uI-sDAF-456v-mvsb
27;Ростов-на-Дону;Бабкова О.Е. ИП х.Грушевка;он же;;4nDv-Vr5a-94tg-ft6P;tzQP-L8PV-Ngpp-8G5u
28;Ростов-на-Дону;Бага;Ворошиловский 40;;SSnI-rM1m-Gc4g-xUvL;G25G-ui4q-ne2p-6pPz
29;Ростов-на-Дону;Баулин Н.Е.;он же;;I7CO-nkgK-ZNdZ-CVkh;wZEq-qUnO-QelF-kpA6
